CODE,DESCRIPTION,FUNCTIONAL GROUP
SPEPPGSF,Sponges: Erect Forms: Palmate: Palmate Grey Stalked Fingers,10000914_10
SPEPPOF,Sponges: Erect Forms: Palmate: Palmate Orange Flat,10000914_11
SPEPPWT,Sponges: Erect Forms: Palmate: Palmate White Thorny,10000914_12
SPEPOFP,Sponges: Erect Forms: Palmate:Orange Flat Pronghorn,10000914_13
SPEPAYF,Sponges: Erect Forms: Palmate: Arborescent Yellow Flat,10000914_14
SPEB,Sponges: Erect Forms: Branching,10000915_1
SPEBAOBF10,Sponges: Erect Forms: Branching: Arborescent Orange / Brown Fingers,10000915_2
SPEBABT12,Sponges: Erect Forms: Branching: Arborescent Brown Thorny,10000915_3
SPEBAO13,Sponges: Erect Forms: Branching: Arborescent Orange,10000915_4
SPEBAB14,Sponges: Erect Forms: Branching: Arborescent Black,10000915_5
SPEBAWS15,Sponges: Erect Forms: Branching: Arborescent White Short,10000915_6
SPEBASG17,Sponges: Erect Forms: Branching: Arborescent Stumpy Grey,10000915_7
SPEBAG2,Sponges: Erect Forms: Branching: Arborescent Grey,10000915_8
SPEBAPT3,Sponges: Erect Forms: Branching: Arborescent Purple Thin,10000915_9
SPEBAW5,Sponges: Erect Forms: Branching: Arborescent White,10000915_10
SPEBAY6,Sponges: Erect Forms: Branching: Arborescent Yellow,10000915_11
SPEBAP7,Sponges: Erect Forms: Branching: Arborescent Purple,10000915_12
SPEBAT8,Sponges: Erect Forms: Branching: Arborescent Tan,10000915_13
SPEBAOT9,Sponges: Erect Forms: Branching: Arborescent Orange Thin,10000915_14
SPEBAPI,Sponges: Erect Forms: Branching: Arborescent Purple Irregular,10000915_15
SPEBBO1,Sponges: Erect Forms: Branching: Branching Orange,10000915_16
SPEBBB2,Sponges: Erect Forms: Branching: Branching Brown 2,10000915_17
SPEBBP3,Sponges: Erect Forms: Branching: Branching Purple,10000915_18
SPEBBB4,Sponges: Erect Forms: Branching: Branching Brown 4,10000915_19
SPEBBBC,Sponges: Erect Forms: Branching: Branching Cream,10000915_20
SPEBBBF,Sponges: Erect Forms: Branching: Branching Beige Fine,10000915_21
SPEBBBFr,Sponges: Erect Forms: Branching: Branching Beige Frilly,10000915_22
SPEBBBS,Sponges: Erect Forms: Branching: Branching Beige Spindles,10000915_23
SPEBBBSt,Sponges: Erect Forms: Branching: Branching Beige Stumpy,10000915_24
SPEBBBlkF,Sponges: Erect Forms: Branching: Branching Black Fingers,10000915_25
SPEBBGFR,Sponges: Erect Forms: Branching: Branching Gray Fine Repent Like,10000915_26
SPEBBGRL,Sponges: Erect Forms: Branching: Branching Grey Repent Like,10000915_27
SPEBBGS,Sponges: Erect Forms: Branching: Branching Grey Stumpy,10000915_28
SPEBBGT,Sponges: Erect Forms: Branching: Branching Grey Thorny,10000915_29
SPEBBOF,Sponges: Erect Forms: Branching: Branching Orange Frilly,10000915_30
SPEBBOLF,Sponges: Erect Forms: Branching: Branching Orange Long Fine,10000915_31
SPEBBOL,Sponges: Erect Forms: Branching: Branching Orange Lumpy,10000915_32
SPEBBOP,Sponges: Erect Forms: Branching: Branching Orange Prostrate,10000915_33
SPEBBPRL,Sponges: Erect Forms: Branching: Branching Purple Remose Like,10000915_34
SPEBBWP,Sponges: Erect Forms: Branching: Branching White Pointed,10000915_35
SPEBBWS,Sponges: Erect Forms: Branching: Branching White Stubby,10000915_36
SPEBBWTL,Sponges: Erect Forms: Branching: Branching White Thorny Lumps,10000915_37
SPEBFB2,Sponges: Erect Forms: Branching: Fan Brown,10000915_38
SPEBLPS1,Sponges: Erect Forms: Branching: Lumpy Purple Stumps,10000915_39
SPEBTOT10,Sponges: Erect Forms: Branching: Tubular Orange Thorny,10000915_40
SPEBTPSO9,Sponges: Erect Forms: Branching: Tubular Pink Small Oscules,10000915_41
SPEBYFF1,Sponges: Erect Forms: Branching: Yellow French Fries,10000915_42
SPEBOWP,Sponges: Erect Forms: Branching: Orange white patches,10000915_43
SPEBYBC,Sponges: Erect Forms: Branching: Yellow branching column,10000915_44
SPEBAYT,Sponges: Erect Forms: Branching: Arborescent yellow thin,10000915_45
SPES,Sponges: Erect Forms: Simple,10000916_1
SPESSEC1,Sponges: Erect Forms: Simple: Simple Erect Cream,10000916_2
SPESSEP2,Sponges: Erect Forms: Simple: Simple Erect Pink,10000916_3
SPESSEO,Sponges: Erect Forms: Simple: Simple Erect Orange,10000916_4
SPESSEW,Sponges: Erect Forms: Simple: Simple Erect White,10000916_5
SPCCR,Sponges: Crusts: Creeping / Ramose,10000917_1
SPCCRBRYSPOMAT,Sponges: Crusts: Creeping / Ramose: Bryozoa / Sponge Matrix,10000917_2
SPCCRCFW,Sponges: Crusts: Creeping / Ramose: Creeping Fat White,10000917_3
SPCCRLSG,Sponges: Crusts: Creeping / Ramose: Lumpy Shapeless Grey,10000917_4
SPCCRRSC,Sponges: Crusts: Creeping / Ramose: Remose Single Cream,10000917_5
SPCCRRB1,Sponges: Crusts: Creeping / Ramose: Repent 1 Brown,10000917_6
SPCCRRB2,Sponges: Crusts: Creeping / Ramose: Repent 2 Brown,10000917_7
SPCCRRO,Sponges: Crusts: Creeping / Ramose: Repent Orange,10000917_8
SPCCRRP,Sponges: Crusts: Creeping / Ramose: Repent Purple,10000917_9
SPCCRRY,Sponges: Crusts: Creeping / Ramose: Repent Yellow,10000917_10
SPCCRWT,Sponges: Crusts: Creeping / Ramose: White Tempura,10000917_11
SPCLCI,Sponges: Cup-Likes: Cups: Incomplete Cup / Curled Fan,10000918_1
SPCLCIFOF13,Sponges: Cup-Likes: Cups: Incomplete Cup / Curled Fan: Fan Orange Frilly,10000918_2
SPCLCIFF4,Sponges: Cup-Likes: Cups: Incomplete Cup / Curled Fan: Fan Pink,10000918_3
SPCLCG,Sponges: Cup-Likes: Cups: Cup / Goblet,10000919_1
SPCLCGCW1,Sponges: Cup-Likes: Cups: Cup White,10000919_2
SPCLCGCWF2,Sponges: Cup-Likes: Cups: Cup White Frilly,10000919_3
SPCLCGCB3,Sponges: Cup-Likes: Cups: Cup Blue,10000919_4
SPCLCGCBT4,Sponges: Cup-Likes: Cups: Cup Blue Thick,10000919_5
SPCLCGCR5,Sponges: Cup-Likes: Cups: Cup Red,10000919_6
SPCLCGCLPFT7,Sponges: Cup-Likes: Cups: Cup Light Pink Flat Thick,10000919_7
SPCLCGCY8,Sponges: Cup-Likes: Cups: Cup Yellow,10000919_8
SPCLCGCBSI,Sponges: Cup-Likes: Cups: Cup Beige Shallow Irrigular,10000919_9
SPCLCGCBT,Sponges: Cup-Likes: Cups: Cup Beige Thick,10000919_10
SPCLCGCBlkSI,Sponges: Cup-Likes: Cups: Cup Black Smooth,10000919_11
SPCLCGCBBI,Sponges: Cup-Likes: Cups: Cup Brown Irrigular,10000919_12
SPCLCGCRS,Sponges: Cup-Likes: Cups: Cup Red Smooth,10000919_13
SPCLCGCR,Sponges: Cup-Likes: Cups: Cup Red Thick,10000919_14
SPCLCGCS,Sponges: Cup-Likes: Cups: Cup Stalked Purple,10000919_15
SPCLCGPTS,Sponges: Cup-Likes: Cups: Cup Pink Thin Smooth,10000919_16
SPCLCGLTS,Sponges: Cup-Likes: Cups: Cup Lavender Thin Smooth,10000919_17
SPCLCT,Sponges: Cup-Likes: Cups: Tables / Discs,10000920_1
SPCEB,Sponges: Crusts: Endolithic / Bioeroding,10000921_1
JH,Jellies: Hydromedusae,11000901_1
CNHYD,Cnidaria: Hydroids,11001000_1
CNHYDBRYCNIHY1,Cnidaria: Hydroids: Bryozoa / Cnidaria: Hydroid Dark Grey,11001000_2
CNHYDBRYCNIMAT,Cnidaria: Hydroids: Bryozoa / Cnidaria Matrix,11001000_3
CNHYDHO2D,Cnidaria: Hydroids: Hydriod Orange 2D,11001000_4
CNHYDH1,Cnidaria: Hydroids: Hydroid 1,11001000_5
CNHYDH2,Cnidaria: Hydroids: Hydroid 2,11001000_6
CNHYDHBF,Cnidaria: Hydroids: Hydroid Brown Feathers,11001000_7
CNHYDHW,Cnidaria: Hydroids: Hydroid White,11001000_8
CNHYDHY,Cnidaria: Hydroids: Hydroid Yellowish,11001000_9
CNHYDHRBM,Cnidaria: Hydroids: Hydroid Red-Brown Mossy,11001000_10
CNHYDHBTF,Cnidaria: Hydroids: Hydroid Blond Tip Feathers,11001000_11
CNHYDHDRF,Cnidaria: Hydroids: Hydroid Dark Red Feathers,11001000_12
CNHYDHBBkF,Cnidaria: Hydroids: Hydroid Branching Black Feathers,11001000_13
CNHYDHBBF,Cnidaria: Hydroids: Hydroid Branching Brown Feathers,11001000_14
CNHYDHBGF,Cnidaria: Hydroids: Hydroid Branching Golden Feathers,11001000_15
CNHYC,Cnidaria: Hydrocorals,11077000_1
CNHYCB,Cnidaria: Hydrocorals: Branching,11077906_1
CNHYCS,Cnidaria: Hydrocorals: Submassive / Encrusting,11077907_1
JSI,Jellies: Siphonophores,11090000_1
JSC,Jellies: Scyphozoa,11120000_1
JCU,Jellies: Cubozoa,11150000_1
CNTU,Cnidaria: Tube Anemones,11164000_1
C,Cnidaria: Corals,11168000_1
CB,Cnidaria: Corals: Black & Octocorals,11168901_1
CBOC7,Cnidaria: Corals: Black & Octocorals: Coral 7 Soft Coral,11168901_2
CBB,Cnidaria: Corals: Black & Octocorals: Branching (3D),11168902_1
CBBN,Cnidaria: Corals: Black & Octocorals: Branching (3D): Non-Fleshy,11168903_1
CBBNA,Cnidaria: Corals: Black & Octocorals: Branching (3D): Non-Fleshy: Arborescent,11168904_1
CBBNAAcasp,Cnidaria: Corals: Black & Octocorals: Branching (3D): Non-Fleshy: Arborescent: Bramble Acabaria Sp,11168904_2
