campaign_name,dataset_name,image_name,latitude,longitude,image_url,image_width,image_height
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032632_168_FC16.png,-33.3510759,115.1116744,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032632_668_FC16.png,-33.351074,115.1116699,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032633_168_FC16.png,-33.351072,115.1116654,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032633_668_FC16.png,-33.35107,115.1116612,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032634_168_FC16.png,-33.3510679,115.1116572,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032634_668_FC16.png,-33.3510656,115.1116533,,1388,1038
,,,,,,,
