"sample","maxn.analyst","curtin.observer","successful.count","latitude","longitude","commonwealth.zone","state.zone","status","priority"
"650","","Lizzy","",-33.5131167,115.3715667,"Multiple Use Zone",NA,"Fished","2"
"651","","N/A","No",NA,NA,NA,NA,NA,NA
"666","Logan","Lizzy","Yes",-33.5511167,115.35715,"National Park Zone",NA,"No-take",NA
"656","","Lauren","",-33.3713167,115.5503833,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","1"
"679","","Lauren","",-33.4721333,115.4152667,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","1"
"672","","Lauren","",-33.4004333,115.53565,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","1"
"682","Logan","Damon","Yes",-33.5696167,115.3354167,"Multiple Use Zone",NA,"Fished",NA
"684","","Lizzy","",-33.5845333,115.1735,"Multiple Use Zone",NA,"Fished","2"
"688","","Laura","",-33.6026333,115.3181333,NA,NA,"Fished",NA
"694","Logan","Lizzy","Yes",-33.5280667,115.34985,"Multiple Use Zone",NA,"Fished",NA
"695","","N/A","",NA,NA,NA,NA,NA,NA
"698","Hayley ","Lizzy","Yes",-33.5246167,115.4035333,"Multiple Use Zone",NA,"Fished",NA
"704","","Lizzy","",-33.48475,115.5324,NA,NA,"Fished",NA
"711","","Laura","",-33.36945,115.5666,NA,NA,"Fished",NA
"714","","Lauren","",-33.5792667,115.1468167,NA,NA,"Fished",NA
"719","Logan","Laura","Yes",-33.6009667,115.23245,"Habitat Protection Zone",NA,"Fished",NA
"720","","Laura","",-33.3599,115.58345,NA,NA,"Fished",NA
"735","","Lauren","",-33.5620333,115.1433167,NA,NA,"Fished",NA
"736","","Lauren","",-33.3850833,115.5606333,NA,NA,"Fished",NA
"746","Logan","Damon","Yes",-33.5794333,115.3570667,"Multiple Use Zone",NA,"Fished",NA
"748","Logan","Lizzy","Yes",-33.3695667,115.5138333,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"752","","Damon","",-33.3765667,115.5914167,NA,NA,"Fished",NA
"755","","Lauren","",-33.43385,115.4571167,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","1"
"759","Daphne (finishes at 59:18)","Lauren","",-33.5759,115.3173333,"Multiple Use Zone",NA,"Fished",NA
"764","Logan","Lauren","Yes",-33.3744333,115.49605,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"762","","laura","",-33.5198667,115.4149,"Multiple Use Zone",NA,"Fished","2"
"763","","N/A","No",NA,NA,NA,NA,NA,NA
"782","Logan","Laura","Yes",-33.5142,115.4368333,"Multiple Use Zone",NA,"Fished",NA
"779","","Lizzy","",-33.5817167,115.2263667,"Habitat Protection Zone",NA,"Fished","2"
"783","Hayley","Lauren","Yes",-33.5817167,115.2263667,"Habitat Protection Zone",NA,"Fished",NA
"784","","Laura","",-33.6014333,115.1773667,NA,NA,"Fished",NA
"791","Logan","Lizzy","Yes",-33.4851333,115.4435167,"Multiple Use Zone",NA,"Fished",NA
"794","","Lizzy","",-33.6248167,115.2039333,NA,"Central Geographe Bay Sanctuary Zone","No-take",NA
"800","Logan","Laura","Yes",-33.5731667,115.1934833,"Multiple Use Zone",NA,"Fished",NA
"807","","Lizzy","",-33.494,115.4907,NA,NA,"Fished",NA
"810","Logan","Lizzy","Yes",-33.5513333,115.3766,"National Park Zone",NA,"No-take",NA
"816","","Lizzy","",-33.3996,115.56325,NA,NA,"Fished",NA
"823","","Lizzy","",-33.5857333,115.2872167,"Multiple Use Zone",NA,"Fished","2"
"826","Logan","Lizzy","Yes",-33.5426833,115.4005833,"National Park Zone",NA,"No-take",NA
"828","","Lauren","",-33.4174667,115.5295667,NA,NA,"Fished",NA
"832","","Lizzy","",-33.4556167,115.5196833,NA,NA,"Fished",NA
"839","Daphne","Laura","",-33.4873,115.4085,"Multiple Use Zone",NA,"Fished",NA
"842","","Lizzy","",-33.5681167,115.11485,NA,NA,"Fished",NA
"843","","Damon","",-33.5999833,115.2586,"Multiple Use Zone",NA,"Fished","2"
"848","Logan","Lauren","Yes",-33.35185,115.5323,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"855","Logan","Lauren","Yes",-33.4901,115.4357667,"Multiple Use Zone",NA,"Fished",NA
"858","Logan","Damon","Yes",-33.5573167,115.3461833,"Multiple Use Zone",NA,"Fished",NA
"864","","Laura","",-33.58325,115.3720667,NA,NA,"Fished",NA
